'subject','predicate','object',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_12.0','ns1_Active','1',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_12.0','ns1_Age','2',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_12.0','ns1_Age','22584',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_12.0','ns1_Alcohol','0',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_12.0','ns1_Cardio','1',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_12.0','ns1_Cholestrol','3',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_12.0','ns1_Diastolic_BP','90',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_12.0','ns1_Glucose','3',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_12.0','ns1_Patient_Height','178',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_12.0','ns1_Patient_Weight','95',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_12.0','ns1_Smoke','0',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_12.0','ns1_Systolic_BP','130',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_13.0','ns1_Active','1',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_13.0','ns1_Age','1',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_13.0','ns1_Age','17668',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_13.0','ns1_Alcohol','0',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_13.0','ns1_Cardio','0',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_13.0','ns1_Cholestrol','1',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_13.0','ns1_Diastolic_BP','70',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_13.0','ns1_Glucose','1',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_13.0','ns1_Patient_Height','158',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_13.0','ns1_Patient_Weight','71',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_13.0','ns1_Smoke','0',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_13.0','ns1_Systolic_BP','110',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_14.0','ns1_Active','0',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_14.0','ns1_Age','1',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_14.0','ns1_Age','19834',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_14.0','ns1_Alcohol','0',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_14.0','ns1_Cardio','0',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_14.0','ns1_Cholestrol','1',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_14.0','ns1_Diastolic_BP','60',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_14.0','ns1_Glucose','1',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_14.0','ns1_Patient_Height','164',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_14.0','ns1_Patient_Weight','68',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_14.0','ns1_Smoke','0',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_14.0','ns1_Systolic_BP','110',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_15.0','ns1_Active','1',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_15.0','ns1_Age','1',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_15.0','ns1_Age','22530',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_15.0','ns1_Alcohol','0',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_15.0','ns1_Cardio','0',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_15.0','ns1_Cholestrol','1',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_15.0','ns1_Diastolic_BP','80',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_15.0','ns1_Glucose','1',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_15.0','ns1_Patient_Height','169',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_15.0','ns1_Patient_Weight','80',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_15.0','ns1_Smoke','0',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_15.0','ns1_Systolic_BP','120',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_16.0','ns1_Active','1',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_16.0','ns1_Age','2',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_16.0','ns1_Age','18815',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_16.0','ns1_Alcohol','0',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_16.0','ns1_Cardio','0',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_16.0','ns1_Cholestrol','1',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_16.0','ns1_Diastolic_BP','80',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_16.0','ns1_Glucose','1',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_16.0','ns1_Patient_Height','173',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_16.0','ns1_Patient_Weight','60',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_16.0','ns1_Smoke','0',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_16.0','ns1_Systolic_BP','120',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_18.0','ns1_Active','0',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_18.0','ns1_Age','2',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_18.0','ns1_Age','14791',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_18.0','ns1_Alcohol','0',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_18.0','ns1_Cardio','0',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_18.0','ns1_Cholestrol','1',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_18.0','ns1_Diastolic_BP','80',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_18.0','ns1_Glucose','1',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_18.0','ns1_Patient_Height','165',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_18.0','ns1_Patient_Weight','60',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_18.0','ns1_Smoke','0',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_18.0','ns1_Systolic_BP','120',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_2.0','ns1_Active','0',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_2.0','ns1_Age','1',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_2.0','ns1_Age','18857',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_2.0','ns1_Alcohol','0',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_2.0','ns1_Cardio','1',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_2.0','ns1_Cholestrol','3',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_2.0','ns1_Diastolic_BP','70',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_2.0','ns1_Glucose','1',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_2.0','ns1_Patient_Height','165',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_2.0','ns1_Patient_Weight','64',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_2.0','ns1_Smoke','0',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_2.0','ns1_Systolic_BP','130',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_21.0','ns1_Active','1',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_21.0','ns1_Age','1',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_21.0','ns1_Age','19809',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_21.0','ns1_Alcohol','0',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_21.0','ns1_Cardio','0',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_21.0','ns1_Cholestrol','1',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_21.0','ns1_Diastolic_BP','70',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_21.0','ns1_Glucose','1',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_21.0','ns1_Patient_Height','158',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_21.0','ns1_Patient_Weight','78',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_21.0','ns1_Smoke','0',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_21.0','ns1_Systolic_BP','110',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_23.0','ns1_Active','1',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_23.0','ns1_Age','2',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_23.0','ns1_Age','14532',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_23.0','ns1_Alcohol','1',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_23.0','ns1_Cardio','0',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_23.0','ns1_Cholestrol','1',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_23.0','ns1_Diastolic_BP','90',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_23.0','ns1_Glucose','1',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_23.0','ns1_Patient_Height','181',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_23.0','ns1_Patient_Weight','95',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_23.0','ns1_Smoke','1',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_23.0','ns1_Systolic_BP','130',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_24.0','ns1_Active','0',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_24.0','ns1_Age','2',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_24.0','ns1_Age','16782',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_24.0','ns1_Alcohol','0',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_24.0','ns1_Cardio','1',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_24.0','ns1_Cholestrol','1',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_24.0','ns1_Diastolic_BP','80',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_24.0','ns1_Glucose','1',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_24.0','ns1_Patient_Height','172',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_24.0','ns1_Patient_Weight','112',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_24.0','ns1_Smoke','0',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_24.0','ns1_Systolic_BP','120',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_25.0','ns1_Active','0',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_25.0','ns1_Age','1',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_25.0','ns1_Age','21296',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_25.0','ns1_Alcohol','0',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_25.0','ns1_Cardio','0',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_25.0','ns1_Cholestrol','1',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_25.0','ns1_Diastolic_BP','70',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_25.0','ns1_Glucose','1',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_25.0','ns1_Patient_Height','170',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_25.0','ns1_Patient_Weight','75',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_25.0','ns1_Smoke','0',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_25.0','ns1_Systolic_BP','130',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_27.0','ns1_Active','1',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_27.0','ns1_Age','1',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_27.0','ns1_Age','16747',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_27.0','ns1_Alcohol','0',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_27.0','ns1_Cardio','0',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_27.0','ns1_Cholestrol','1',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_27.0','ns1_Diastolic_BP','70',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_27.0','ns1_Glucose','3',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_27.0','ns1_Patient_Height','158',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_27.0','ns1_Patient_Weight','52',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_27.0','ns1_Smoke','0',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_27.0','ns1_Systolic_BP','110',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_28.0','ns1_Active','0',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_28.0','ns1_Age','1',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_28.0','ns1_Age','17482',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_28.0','ns1_Alcohol','0',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_28.0','ns1_Cardio','0',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_28.0','ns1_Cholestrol','1',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_28.0','ns1_Diastolic_BP','70',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_28.0','ns1_Glucose','1',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_28.0','ns1_Patient_Height','154',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_28.0','ns1_Patient_Weight','68',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_28.0','ns1_Smoke','0',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_28.0','ns1_Systolic_BP','100',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_29.0','ns1_Active','1',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_29.0','ns1_Age','2',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_29.0','ns1_Age','21755',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_29.0','ns1_Alcohol','0',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_29.0','ns1_Cardio','0',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_29.0','ns1_Cholestrol','1',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_29.0','ns1_Diastolic_BP','70',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_29.0','ns1_Glucose','1',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_29.0','ns1_Patient_Height','162',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_29.0','ns1_Patient_Weight','56',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_29.0','ns1_Smoke','1',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_29.0','ns1_Systolic_BP','120',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_3.0','ns1_Active','1',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_3.0','ns1_Age','2',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_3.0','ns1_Age','17623',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_3.0','ns1_Alcohol','0',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_3.0','ns1_Cardio','1',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_3.0','ns1_Cholestrol','1',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_3.0','ns1_Diastolic_BP','100',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_3.0','ns1_Glucose','1',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_3.0','ns1_Patient_Height','169',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_3.0','ns1_Patient_Weight','82',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_3.0','ns1_Smoke','0',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_3.0','ns1_Systolic_BP','150',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_30.0','ns1_Active','1',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_30.0','ns1_Age','2',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_30.0','ns1_Age','19778',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_30.0','ns1_Alcohol','0',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_30.0','ns1_Cardio','0',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_30.0','ns1_Cholestrol','1',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_30.0','ns1_Diastolic_BP','80',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_30.0','ns1_Glucose','1',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_30.0','ns1_Patient_Height','163',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_30.0','ns1_Patient_Weight','83',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_30.0','ns1_Smoke','0',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_30.0','ns1_Systolic_BP','120',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_31.0','ns1_Active','1',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_31.0','ns1_Age','1',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_31.0','ns1_Age','21413',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_31.0','ns1_Alcohol','0',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_31.0','ns1_Cardio','0',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_31.0','ns1_Cholestrol','1',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_31.0','ns1_Diastolic_BP','80',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_31.0','ns1_Glucose','1',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_31.0','ns1_Patient_Height','157',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_31.0','ns1_Patient_Weight','69',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_31.0','ns1_Smoke','0',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_31.0','ns1_Systolic_BP','130',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_32.0','ns1_Active','1',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_32.0','ns1_Age','1',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_32.0','ns1_Age','23046',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_32.0','ns1_Alcohol','0',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_32.0','ns1_Cardio','1',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_32.0','ns1_Cholestrol','2',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_32.0','ns1_Diastolic_BP','85',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_32.0','ns1_Glucose','2',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_32.0','ns1_Patient_Height','158',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_32.0','ns1_Patient_Weight','90',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_32.0','ns1_Smoke','0',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_32.0','ns1_Systolic_BP','145',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_33.0','ns1_Active','1',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_33.0','ns1_Age','2',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_33.0','ns1_Age','23376',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_33.0','ns1_Alcohol','0',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_33.0','ns1_Cardio','0',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_33.0','ns1_Cholestrol','1',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_33.0','ns1_Diastolic_BP','60',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_33.0','ns1_Glucose','1',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_33.0','ns1_Patient_Height','156',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_33.0','ns1_Patient_Weight','45',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_33.0','ns1_Smoke','0',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_33.0','ns1_Systolic_BP','110',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_35.0','ns1_Active','1',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_35.0','ns1_Age','1',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_35.0','ns1_Age','16608',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_35.0','ns1_Alcohol','0',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_35.0','ns1_Cardio','1',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_35.0','ns1_Cholestrol','3',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_35.0','ns1_Diastolic_BP','90',,,,,
